paper_id,title,full_model_score_v2,value_norm,query_similarity,WTP,price,price_rank,scenario
W2097281067,TUBE,0.9472031878429484,1.0,0.0,1.0,0.5,1,Base Case
W2168402580,Query-based data pricing,0.15243543065323706,0.1609321343189057,0.43060459659245276,1.5765262617210498,0.3252787468961585,2,Base Case
W2180742472,Smart data pricing,0.06021502864878066,0.06357139568534122,0.5883349517716907,1.539451491345477,0.26517050166497075,3,Base Case
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.37935713074869104,0.4005023796558322,0.09088956783496686,0.8734934209561211,0.25346668094074215,4,Base Case
W2010653253,A survey of smart data pricing,0.09691744674045043,0.10231959518755324,0.43203720046973004,1.320040967791226,0.24527926527806834,5,Base Case
W3123243120,Nonrivalry and the Economics of Data,0.3420389735065509,0.3611041198937169,0.06266678688932102,0.667471573082242,0.18448009319551453,6,Base Case
W2293940046,Query-Based Data Pricing,0.04928045831453584,0.05202733578923176,0.43060459659245276,1.0924622084885551,0.1837625956286112,7,Base Case
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.011320903361344541,0.011951927006417139,0.4146248205014179,0.880846092726707,0.13581164678046112,8,Base Case
W2743929098,Data pricing strategy based on data quality,0.02171863596067613,0.022929225998632514,0.3410360160308301,0.7675587931422462,0.12129365413365559,9,Base Case
W4382600626,"We, the Data",0.00047268907563025216,0.0004990366182220098,0.39216926336000296,0.7864032179218903,0.11809783808913427,10,Base Case
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.02191291371931907,0.023134332739336547,0.3291083604501962,0.7422606721833477,0.11734919770686675,11,Base Case
W1994174199,Smart data pricing: To share or not to share?,0.03525739309434376,0.03722262925934074,0.26467115626559745,0.6453789923930586,0.10521479489692359,12,Base Case
W3195579788,Data pricing in machine learning pipelines,0.003813072812206454,0.004025612309107518,0.3008811348970386,0.6154777285049428,0.09318884542768927,13,Base Case
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.03944023507886216,0.04163862155983534,0.2135725554720798,0.5399266670069459,0.08885763080618979,14,Base Case
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,0.0024951830911100494,0.27977729820816405,0.567634544177562,0.08564090486743092,15,Base Case
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,0.0006653821576293465,0.2833942704375394,0.5689624469616964,0.08547686915545377,16,Base Case
W2342966760,Time and Location Aware Mobile Data Pricing,0.004493899102528042,0.004744387645867125,0.2666533713275521,0.5481719859862134,0.08313605703727521,17,Base Case
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.000510734231821268,0.000539202399629118,0.27439998065374255,0.5505228207313276,0.08268231823879527,18,Base Case
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,0.027729801419203014,0.2118647706863393,0.498459086942739,0.07960662306519263,19,Base Case
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.030441473205822446,0.03213827148866164,0.19167387431325456,0.4647665561948746,0.0749428612458756,20,Base Case
