Source,Target,Source_Clean,Target_Clean,is_inst_self_cite,source_raw_id,target_raw_id,source_id,target_id,edge_key,edge_id,alignment_status,section,sentiment,relevance,confidence,q_ij,scoring_backend,has_llm_score,q_source,shared_authors_count,is_author_self_cite,rho_ij,team_collab_count,shared_institutions_count,rho_extended,delta_t,tau_ij,w_semantic,w_semantic_temporal,w_semantic_relation,w_full_v2,w_extended_v2
https://openalex.org/W4323644227,https://openalex.org/W2168402580,W4323644227,W2168402580,False,https://openalex.org/W4323644227,https://openalex.org/W2168402580,W4323644227,W2168402580,W4323644227->W2168402580,W4323644227->W2168402580,high_confidence,Methodology,0.0,0.1,0.9,0.005,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,11,0.3125,0.005,0.0015625,0.005,0.0015625,0.0015625
https://openalex.org/W4210813858,https://openalex.org/W2533772775,W4210813858,W2533772775,False,https://openalex.org/W4210813858,https://openalex.org/W2533772775,W4210813858,W2533772775,W4210813858->W2533772775,W4210813858->W2533772775,high_confidence,Methodology,0.3,0.4,0.8,0.104,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,6,0.45454545454545453,0.104,0.04727272727272727,0.104,0.04727272727272727,0.04727272727272727
https://openalex.org/W4210813858,https://openalex.org/W2743929098,W4210813858,W2743929098,False,https://openalex.org/W4210813858,https://openalex.org/W2743929098,W4210813858,W2743929098,W4210813858->W2743929098,W4210813858->W2743929098,high_confidence,Introduction,0.3,0.5,0.9,0.065,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,5,0.5,0.065,0.0325,0.065,0.0325,0.0325
https://openalex.org/W4210813858,https://openalex.org/W2910976764,W4210813858,W2910976764,False,https://openalex.org/W4210813858,https://openalex.org/W2910976764,W4210813858,W2910976764,W4210813858->W2910976764,W4210813858->W2910976764,high_confidence,Introduction,0.0,0.2,0.9,0.008,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.008,0.005714285714285714,0.008,0.005714285714285714,0.005714285714285714
https://openalex.org/W4210813858,https://openalex.org/W3084177365,W4210813858,W3084177365,False,https://openalex.org/W4210813858,https://openalex.org/W3084177365,W4210813858,W3084177365,W4210813858->W3084177365,W4210813858->W3084177365,high_confidence,Introduction,0.0,0.4,0.9,0.032,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.032,0.022857142857142857,0.032,0.022857142857142857,0.022857142857142857
https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,False,https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,W3121561769->W2974598553,W3121561769->W2974598553,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,1,0.8333333333333334,0.3,0.25,0.3,0.25,0.25
https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,False,https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,W2956647116->W2790400697,W2956647116->W2790400697,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,1,0.8333333333333334,0.3,0.25,0.3,0.25,0.25
https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,False,https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,W2982407593->W2612128091,W2982407593->W2612128091,high_confidence,Introduction,0.3,0.5,0.7,0.065,deepseek:deepseek-chat,True,target_aligned_llm,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.065,0.04642857142857143,0.065,0.04642857142857143,0.04642857142857143
https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,True,https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,W1516789636->W1777686370,W1516789636->W1777686370,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,1,0.5,2,0.7142857142857143,0.3,0.21428571428571427,0.3,0.21428571428571427,0.10714285714285714
https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,False,https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,W3117086259->W2910976764,W3117086259->W2910976764,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,0,1.0,0.3,0.3,0.3,0.3,0.3
