Source,Target,Source_Clean,Target_Clean,is_inst_self_cite,source_raw_id,target_raw_id,source_id,target_id,edge_key,edge_id,alignment_status,section,sentiment,relevance,confidence,q_ij,scoring_backend,has_llm_score,q_source,shared_authors_count,is_author_self_cite,rho_ij,team_collab_count,shared_institutions_count,rho_extended,delta_t,tau_ij,w_semantic,w_semantic_temporal,w_semantic_relation,w_full_v2,w_extended_v2
https://openalex.org/W4323644227,https://openalex.org/W2168402580,W4323644227,W2168402580,False,https://openalex.org/W4323644227,https://openalex.org/W2168402580,W4323644227,W2168402580,W4323644227->W2168402580,W4323644227->W2168402580,high_confidence,Methodology,0.35,0.87,0.86,0.5109075000000001,offline_rule_based_fallback,True,target_aligned_llm,0,False,1.0,0,0,1.0,11,0.3125,0.5109075000000001,0.15965859375000002,0.5109075000000001,0.15965859375000002,0.15965859375000002
https://openalex.org/W4210813858,https://openalex.org/W2533772775,W4210813858,W2533772775,False,https://openalex.org/W4210813858,https://openalex.org/W2533772775,W4210813858,W2533772775,W4210813858->W2533772775,W4210813858->W2533772775,high_confidence,Methodology,0.35,0.8999999999999999,0.82,0.54675,offline_rule_based_fallback,True,target_aligned_llm,0,False,1.0,0,0,1.0,6,0.45454545454545453,0.54675,0.24852272727272726,0.54675,0.24852272727272726,0.24852272727272726
https://openalex.org/W4210813858,https://openalex.org/W2743929098,W4210813858,W2743929098,False,https://openalex.org/W4210813858,https://openalex.org/W2743929098,W4210813858,W2743929098,W4210813858->W2743929098,W4210813858->W2743929098,high_confidence,Methodology,0.35,0.8999999999999999,0.82,0.54675,offline_rule_based_fallback,True,target_aligned_llm,0,False,1.0,0,0,1.0,5,0.5,0.54675,0.273375,0.54675,0.273375,0.273375
https://openalex.org/W4210813858,https://openalex.org/W2910976764,W4210813858,W2910976764,False,https://openalex.org/W4210813858,https://openalex.org/W2910976764,W4210813858,W2910976764,W4210813858->W2910976764,W4210813858->W2910976764,high_confidence,Other,0.35,0.53,0.82,0.0379215,offline_rule_based_fallback,True,target_aligned_llm,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.0379215,0.027086785714285713,0.0379215,0.027086785714285713,0.027086785714285713
https://openalex.org/W4210813858,https://openalex.org/W3084177365,W4210813858,W3084177365,False,https://openalex.org/W4210813858,https://openalex.org/W3084177365,W4210813858,W3084177365,W4210813858->W3084177365,W4210813858->W3084177365,high_confidence,Other,0.0,0.45,0.82,0.02025,offline_rule_based_fallback,True,target_aligned_llm,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.02025,0.014464285714285714,0.02025,0.014464285714285714,0.014464285714285714
https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,False,https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,W3121561769->W2974598553,W3121561769->W2974598553,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,1,0.8333333333333334,0.3,0.25,0.3,0.25,0.25
https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,False,https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,W2956647116->W2790400697,W2956647116->W2790400697,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,1,0.8333333333333334,0.3,0.25,0.3,0.25,0.25
https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,False,https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,W2982407593->W2612128091,W2982407593->W2612128091,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,2,0.7142857142857143,0.3,0.21428571428571427,0.3,0.21428571428571427,0.21428571428571427
https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,True,https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,W1516789636->W1777686370,W1516789636->W1777686370,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,1,0.5,2,0.7142857142857143,0.3,0.21428571428571427,0.3,0.21428571428571427,0.10714285714285714
https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,False,https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,W3117086259->W2910976764,W3117086259->W2910976764,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,0,1.0,0.3,0.3,0.3,0.3,0.3
https://openalex.org/W3117086259,https://openalex.org/W2974598553,W3117086259,W2974598553,False,https://openalex.org/W3117086259,https://openalex.org/W2974598553,W3117086259,W2974598553,W3117086259->W2974598553,W3117086259->W2974598553,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,1,0.8333333333333334,0.3,0.25,0.3,0.25,0.25
https://openalex.org/W4377287661,https://openalex.org/W2018362551,W4377287661,W2018362551,False,https://openalex.org/W4377287661,https://openalex.org/W2018362551,W4377287661,W2018362551,W4377287661->W2018362551,W4377287661->W2018362551,failed,Other,0.0,0.0,,0.3,default_unscored,False,default_unscored,0,False,1.0,0,0,1.0,8,0.38461538461538464,0.3,0.11538461538461539,0.3,0.11538461538461539,0.11538461538461539
